"时间","下次更新","排名","分数","播放","传播","喜好","畅销","推荐"
"1.690161e+12","2023.07.24 09:35","145","15.09","33.69","0.00","0.63","59.08","0.57"
"1.690161e+12","2023.07.24 09:35","145","15.09","33.69","0.00","0.63","59.08","0.57"
"1690164600000","2023.07.24 10:35","153","15.83","34.51","0.00","0.83","60.25","0.73"
"1690165800000","2023.07.24 10:55","153","16.13","34.83","0.00","0.85","60.84","0.75"
"1690167600000","2023.07.24 11:25","153","16.51","35.24","0.00","0.91","61.50","0.78"
"1690168200000","2023.07.24 11:35","156","16.66","35.38","0.00","0.94","61.66","0.89"
"1690168800000","2023.07.24 11:45","155","16.79","35.48","0.00","0.94","61.93","0.96"
"1690169400000","2023.07.24 11:55","148","17.52","35.75","0.00","0.98","64.61","0.99"
"1690171200000","2023.07.24 12:25","147","18.18","36.02","0.00","1.00","67.00","0.99"
"1690171800000","2023.07.24 12:35","147","18.25","36.09","0.00","1.02","67.12","0.99"
"1690172400000","2023.07.24 12:45","147","18.35","36.20","0.00","1.07","67.26","0.99"
"1.690173e+12","2023.07.24 12:55","147","18.57","36.35","0.00","1.16","67.72","1.05"
"1690174800000","2023.07.24 13:25","149","18.80","36.50","0.00","1.25","68.25","1.08"
"1690175400000","2023.07.24 13:35","150","18.91","36.62","0.00","1.25","68.47","1.08"
"1.690176e+12","2023.07.24 13:45","150","19.04","36.74","0.00","1.28","68.69","1.08"
"1690177200000","2023.07.24 14:05","150","19.25","36.91","0.00","1.36","69.10","1.14"
"1690178400000","2023.07.24 14:25","163","19.39","37.06","0.00","1.44","69.22","1.15"
"1690179600000","2023.07.24 14:45","176","19.55","37.21","0.00","1.49","69.54","1.15"
"1690180800000","2023.07.24 15:05","176","19.70","37.33","0.00","1.54","69.77","1.21"
"1.690182e+12","2023.07.24 15:25","180","19.84","37.47","0.00","1.60","70.01","1.21"
"1690182600000","2023.07.24 15:35","180","19.91","37.54","0.00","1.63","70.10","1.21"
"1690183200000","2023.07.24 15:45","180","19.99","37.61","0.00","1.66","70.23","1.21"
"1690183800000","2023.07.24 15:55","181","20.12","37.73","0.00","1.70","70.49","1.21"
"1690185600000","2023.07.24 16:25","181","20.28","37.87","0.00","1.77","70.77","1.21"
"1690186800000","2023.07.24 16:45","184","20.38","37.97","0.00","1.83","70.92","1.21"
